"msgid (exact, current source)",plural form,proposed english,reviewer note
Reinstate my reminders,,Turn my reminders back on,
Reinstated {n} reminder(s) — you'll be notified again per your existing settings for any that are still active.,,Turned {n} reminder(s) back on. You'll be notified again for any active ones using your existing settings.,English uses reminder(s) instead of the existing singular/plural message mechanism.
**{name}** is env-managed (EDITOR_WHITELIST) — edit `.env` instead.,,**{name}** is managed through EDITOR_WHITELIST. Edit `.env` to change it.,
That concert doesn't exist (deleted?).,,That event doesn't exist (deleted?).,
Find concerts to follow →,,Find events to follow →,
Concert,,Event,
Nothing coming up on the concerts you follow.,,Nothing coming up on the events you follow.,
Opt out of this concert?,,Stop following this event?,
"You won this ticket. Payment is due %(when)s. Opting out stops
      that reminder and forfeits the ticket.",,"This ticket is marked as won. Payment is due %(when)s. If you stop following this event, we'll remove that mark and the payment reminder.",
You hold a ticket for this concert. Opting out forfeits it and stops its reminders.,,"You marked that you have a ticket for this event. If you stop following it, we'll remove that mark and its reminders.",
Opt out and forfeit,,Stop following,
"Save the concert first, then a saved round can be picked here.",,"Save the event first, then a saved round can be picked here.",
No reminders for this concert yet.,,No reminders for this event yet.,
Rules here override your default preset for this concert only.,,"For this event, rules set here are used instead of your default preset.",
"Missing a tag? Create it on the <a href=""/tags"">tags page</a> first — concerts are tag-driven.",,"Missing a tag? Create it on the <a href=""/tags"">tags page</a> first — events are tag-driven.",
Add concert,,Add event,
"A cancelled leg is dimmed and badged, never deleted",,"A cancelled performance stays in the list, but appears faded with a label.",
"Optional — shown to viewers reading in that language, falling back to the originals above.",,"Optional — shown to people using that language. If left blank, the text above is used.",
"Nothing yet. Only the concert's own top-level fields are
        tracked — day, round and tag changes are not.",,"Nothing yet. We only track changes to the event details above. Changes to days, rounds, and tags are not tracked.",The source says day while the data model and nearby UI use performance/leg; standardize the entity name.
"Duplicating copies this event's tags and details — the
      exact tag set as pruned here, not a group's current membership — but
      not rounds or legs.",,Duplicating copies this event's details and the exact tags shown here. It does not add the group's current members or copy rounds or performances.,
Delete this concert and every reminder attached to it?,,Delete this event and every reminder attached to it?,
"Tick the performances each round applies to — leave none ticked
      for a whole-event round. Times are JST.",,"Select the performances for each round. If you select none, the round applies to the whole event. Times are JST.",
"concert, tour",,"event, tour",
Concerts,,Events,
%(count)s concert,singular,[singular] %(count)s event,
%(count)s concerts,plural,[plural] %(count)s events,
Search concerts…,,Search events…,
No concerts match.,,No events match.,
"dekimasen.app · Japanese concert ticketing, tracked",,"dekimasen.app · Japanese event ticketing, tracked",
"Every Japanese ticket is a <b>campaign</b>, not a date — fan-club presale, lottery
      round 1, round 2 if you lose, a first-come sale, an upgrade round riding on the
      seat you already hold. We track the whole ladder and tell you exactly where you stand.",,"Buying a Japanese ticket usually takes <b>several steps</b> — a fan-club presale, lottery round 1, another round if you lose, a first-come sale, and sometimes an upgrade lottery for a ticket you already have. We track each step and show you what comes next.",
concerts tracked,,events tracked,
"Presale opens, lottery closes, results land, payment is due. All times shown
          <b>JST and yours</b>, always both — no mental arithmetic at 3am.",,"See when presales open, lotteries close, results are announced, and payments are due. Times are always shown in <b>JST and your local time</b>.",
